"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 23 07:34:37 GMT 2024","Fri Aug 23 07:34:38 GMT 2024","841","","test_PetStoreRequests","","","","test_upload_pet_image_format[PNG]",""
"passed","Fri Aug 23 07:34:42 GMT 2024","Fri Aug 23 07:34:49 GMT 2024","6754","","test_PetStoreRequests","","","","test_upload_pet_image_sizes_statuses[img_size0-200]",""
"passed","Fri Aug 23 07:35:15 GMT 2024","Fri Aug 23 07:35:16 GMT 2024","278","","test_PetStoreRequests","","","","test_update_pet_data",""
"passed","Fri Aug 23 07:35:16 GMT 2024","Fri Aug 23 07:35:16 GMT 2024","286","","test_PetStoreRequests","","","","test_find_by_pet_id",""
"passed","Fri Aug 23 07:34:41 GMT 2024","Fri Aug 23 07:34:42 GMT 2024","1035","","test_PetStoreRequests","","","","test_upload_image_metadata[]",""
"passed","Fri Aug 23 07:35:14 GMT 2024","Fri Aug 23 07:35:15 GMT 2024","444","","test_PetStoreRequests","","","","test_upload_pet_image_sizes_statuses[img_size2-200]",""
"failed","Fri Aug 23 07:35:15 GMT 2024","Fri Aug 23 07:35:15 GMT 2024","291","","test_PetStoreRequests","","","","test_upload_pet_image_sizes_statuses[img_size3-400]",""
"passed","Fri Aug 23 07:34:40 GMT 2024","Fri Aug 23 07:34:41 GMT 2024","979","","test_PetStoreRequests","","","","test_upload_image_metadata[112324]",""
"passed","Fri Aug 23 07:34:49 GMT 2024","Fri Aug 23 07:35:14 GMT 2024","25536","","test_PetStoreRequests","","","","test_upload_pet_image_sizes_statuses[img_size1-200]",""
"passed","Fri Aug 23 07:34:39 GMT 2024","Fri Aug 23 07:34:40 GMT 2024","851","","test_PetStoreRequests","","","","test_upload_image_metadata[Random image upload]",""
"passed","Fri Aug 23 07:34:38 GMT 2024","Fri Aug 23 07:34:39 GMT 2024","1013","","test_PetStoreRequests","","","","test_upload_pet_image_format[JPEG]",""
